value,count
"Pulitura",85
"INTERVENTI SULLE MURATURE",72
"Dipinto su tela",33
"Apparecchio murario in laterizio",27
"Apparecchio murario intonacato",27
"Cornice lignea",24
"MANUTENZIONE COPERTURA",24
"MANUTENZIONE MURATURE",21
"RESTAURO DELLA 'TOMBA AD ARCOSOLIO'",21
"TORRE CAMPANARIA - interventi sulle murature -",21
"PROVE DI PULITURA su elemento centrale",21
"Dipinti murali",20
"scultura in legno policromo",20
"METODOLOGIA",20
"Pellicola pittorica",14
"Prima fase 1991-92: consolidamento e pulitura.",14
"Presbiterio",13
"Ciclo pittorico murale",12
"L'altare.",12
"Pulitura e rimozione delle vecchie stuccature",11
"Superfici estradossali delle volte della navata centrale",10
"dellabside",10
"del transetto e della volta soprastante la tribuna",10
"RIMOZIONE DEPOSITO SUPERFICIALE E SPOLVERATURA",10
"S.M. ad Cryptas_portale lapideo",10
"Cornice dorata",8
"Cornice",8
"Terza fase 1994-95: affresco “Due Sante e Cristo Risorto” (abside).",8
"INTERVENTI PREVISTI",7
"TORRE CAMPANARIA - interventi sugli infissi -",7
"Trabeazione",7
"Specchiature",7
"Capitelli",7
"Volta",7
"Superfici murarie",7
"Dipinto murale",7
"La balaustrata.",7
"Tavola",6
"Strutture lignee di copertura",6
"miglioramento sismico di statue e vasi",6
"TORRE CAMPANARIA - risanamento campane -",6
"Terza fase 1994-95: affresco “Madonna con Santi”.",6
"Intervento di restauro sul dipinto ad olio su tela (“Madonna del Rosario”).",6
"Supporto tessile",5
"Il portale e le due acquasantiere.",5
"Intervento di restauro sulla cornice lignea dorata.",5
"Verso della cornice",4
"Telaio",4
"Manto di copertura",4
"Solaio sottotetto",4
"TORRE CAMPANARIA - interventi di pulizia -",4
"TORRE CAMPANARIA - interventi sulla scala -",4
"cappella",4
"Intervento di restauro conservativo",4
"Abside",4
"Seconda fase 1993: risarcimento lacune e integrazione pittorica.",4
"Protezione finale",3
"Restauro delle colonne e dei capitelli",3
"Dipinto su tavola e cornice",3
"Verso della tela",3
"Capriata C1",3
"Presidio antisismico passivo - Cupola",3
"(manufatti architettonici in asse con l'accessi dal giardino)",3
"TORRE CAMPANARIA - interventi su elementi metallici -",3
"Cappella sepolcrale Fratelli Perosi",3
"Scalone in pietra",3
"Ricostruzione dito mignolo destro",3
"Documentazione",2
"Allestimento",2
"Pilastro in muratura",2
"Murature perimetrali",2
"Denario",2
"Lapideo classico",2
"Copertura in canniccio",2
"Infisso",2
"Rimozione vecchie stuccature",2
"Uniformazione cromatica",2
"Parete sud del presbiterio",1
"parasta destra e cornicioni aggettanti",1
"Lesena destra e cornicione",1
"Pellicola pittorica - fissaggio preliminare",1
"Cornicioni policromi e dorati",1
"Supporto murario e strati preparatori",1
"Fascia decorativa a candelabra - vela sud",1
"Lesena - strati sottili porosi",1
"Fregio e sfondato architettonico",1
"Lesena e cornicione - stuccature",1
"Reintegrazione pittorica",1
"Dorature e porporina",1
"Volta terza campata",1
"Cappella e presbiterio",1
"Metodo di intervento e documentazione",1
"Studio stratigrafico",1
"Analisi superfici",1
"Valutazione stato di degrado",1
"Preconsolidamento e pulitura",1
"Trattamento biocida",1
"Consolidamento materiali",1
"Consolidamento innovativo",1
"Stuccature di integrazione",1
"Integrazioni profonde",1
"Tinteggiatura",1
"Impianto elettrico",1
"Restauro di disegni e planimetrie",1
"Cornice e verso della tavola",1
"Capriata C2",1
"Orditura primaria e secondaria",1
"Murature perimetrali sottotetto",1
"Cupola e volte",1
"Intervento generale",1
"Moneta - Dupundio",1
"Cupola - rifacimento intonaci",1
"Cupola - trattamento microcavillature",1
"Cupola - tinteggiatura",1
"Cupola - copertura in piombo",1
"Volta centrale - rifacimento intonaci",1
"Volta centrale - consolidamento in profondità",1
"Volta centrale - consolidamento pellicola",1
"Volta centrale - stacco intonaci",1
"Volte laterali - consolidamento preliminare",1
"Volte laterali - stuccature",1
"Volte laterali - impacchi sali",1
"Volte laterali - ritocco",1
"Colonne e architravi in granito - pulitura",1
"Colonne e architravi - impacchi ossidazione",1
"Colonne e architravi - stuccature profonde",1
"Colonne e architravi - tonalizzazione",1
"Fregio e acroteri - pulitura e integrazione",1
"Colonne e architravi - protettivo finale",1
"Obelisco",1
"Lanterna sulla torre di nord-ovest",1
"Torre di nord-est / ala nord scuola di cucina",1
"Scultura",1
"INTERVENTO SUGLI ELEMENTI DORATI / BALAUSTRA FRONTALE / ricomposizione e ricongiungimento frammenti",1
"INTERVENTO SUGLI ELEMENTI DORATI / BALAUSTRA FRONTALE / rimozione frammenti scultorei a rischio e fermatura provvisoria",1
"INTERVENTO SUGLI ELEMENTI DORATI / BALAUSTRA FRONTALE / ricomposizione elementi strutturali su sagome centinate",1
"INTERVENTO SUGLI ELEMENTI DORATI / CORNICI DELLA BALAUSTRA FRONTALE / analisi e computo parti mancanti",1
"INTERVENTO SUGLI ELEMENTI DORATI / PANNELLI SCOLPITI / decisione di separare gli elementi dal supporto",1
"INTERVENTO SUGLI ELEMENTI DORATI / PANNELLI SCOLPITI / supporti provvisori centinati",1
"INTERVENTO SUGLI ELEMENTI DORATI / PANNELLI SCOLPITI / separazione frammenti residui dai supporti",1
"INTERVENTO SUGLI ELEMENTI DORATI / PANNELLI SCOLPITI / ricomposizione sui supporti provvisori e fissaggio",1
"INTERVENTO SUGLI ELEMENTI DORATI / PANNELLI SCOLPITI / messa in sicurezza e imballaggio (pannelli conservati in loco e pannelli su supporti)",1
"INTERVENTO SUGLI ELEMENTI DORATI / PANNELLI SCOLPITI / trattamento disinfestante e inserimento in casse",1
"INTERVENTO SUGLI ELEMENTI DORATI / Colonne e capitelli / riassemblaggio e collocazione in cassa",1
"INTERVENTO SUGLI ELEMENTI DORATI / 3.4.5- Fregi reggicanne / supporti provvisori e fascettatura",1
"INTERVENTO SUGLI ELEMENTI DORATI / trattamento disinfestante preventivo prima degli imballaggi",1
"INTERVENTO SUGLI ELEMENTI DORATI / Trabeazioni e strutture sommitali / selezione e riposizionamento in casse",1
"INTERVENTO SUGLI ELEMENTI DORATI / Strati decorativi / iniezioni di adesivi e pressatura",1
"INTERVENTO SUGLI ELEMENTI DORATI / Sculture sommitali / grafici frammenti e collocazione in cassette",1
"INTERVENTO SUGLI ELEMENTI DORATI / LOCALIZZAZIONE ELEMENTI",1
"INTERVENTO SUGLI ELEMENTI DORATI / INTERVENTO SUI TAVOLATI DIPINTI / ricomposizione su telaio e velinatura con carta giapponese",1
"INTERVENTO SUGLI ELEMENTI DORATI / BALAUSTRA POSTERIORE / riassemblaggio su telai provvisori e numerazione",1
"INTERVENTO SUGLI ELEMENTI DORATI / IMBALLAGGIO / criteri e modalità",1
"INTERVENTO SUGLI ELEMENTI DORATI / IMBALLAGGIO / trattamento disinfestante reiterato e casse forellate",1
"Pavimento",1
"Impianti",1
"Le due acquasantiere.",1
"affreschi arco trionfale e parete di fondo del Presbiterio",1
"Ricostruzione dito medio destro",1
"Nuove stuccature",1
